mention_id,mention_text,issue_date,source_id,keyword,related_event,geographic_location,latitude,longitude
ment_bm_00016,". The confernation which the honfe y thrown into was fo great that fcatce any knew what he faid ; many cried aye who wou have faid No, though their well being depen ed upon the queftion: thcre was a gteat confuah on of iokgeness atd-aeourt lord aixed a city;  if his head was on hisdthoulders; and the with equal earneftnefé anfwered I thin have it there at prefent, but God knows | Jong it will be fo. It is imagiried the fatale of the hurricane will be feverely felt throu: this great kingdom, nor will pofterity ftranger to its confequences. , Some h ve at a lofs to fay from what quarter this calamity firt fpruig, but the mott philofophers afirm it came in a dite& Planter’s Ifand: It is remarkable th perfons of allowed fenfé and unde}  who laugh at the ftory of catrying: keels Bags, aver with great confideric  the houfe where the hurricane afof obferved to fpring frem certain papi prodkced.  Messrs, OnDERSON’S.  The",1784-10-30,https://dloc.com/AA00047511/81,hurricane*,General Mention,,,
ment_bm_00017,"| Jong it will be fo. It is imagiried the fatale of the hurricane will be feverely felt throu: this great kingdom, nor will pofterity ftranger to its confequences. , Some h ve at a lofs to fay from what quarter this calamity firt fpruig, but the mott philofophers afirm it came in a dite& Planter’s Ifand: It is remarkable th perfons of allowed fenfé and unde}  who laugh at the ftory of catrying: keels Bags, aver with great confideric  the houfe where the hurricane afof obferved to fpring frem certain papi prodkced.  Messrs, OnDERSON’S.  The fingularity and oddity of the fellow)  awhich are copied from an old Antigua 4 5 pa- per, printed by Mr. Mearns; have ¢ Mae d me much entertainment, and as 1 ain willy to let the public hayerhe fame chance of exer  rifible facultier. I fend it to you for pub  Pray is there aually fuch a foctety i  as the Wifmettog Society 2  Your mioft obedsint,  Wifmienog Seciety:  Delta-Hall; Daleéarlia; Janiiary 43%  2mes,  WAHIS e",1784-10-30,https://dloc.com/AA00047511/81,hurricane*,General Mention,,,
ment_bm_00023,"sugar at          ©The  Yellow Red Magenta             Z a oclzc- from slain ysecentin the West India Docks; ee oe ind ; : See RATS rt the utity from othfr evidence it appears, that tae quantity now on fiand is unusually great we Me tame of ‘year. ‘The crotp of last year js also on the point ef coming into market. Y ‘ It should not be omitted further, to state, that for lands have almost entirely              aah many years past tHe ht escaped the natural calamities (of hurricanes, &c.} which have occasion proved desiructive to the property in those counties,  In investigating the causes of that depression of the Market, from whence the whole of the Planter’s distress appears to originate, the first object which strikes your Committee is, that extraordinary situation          /  in which he is piaced, which prevents him alone (in     exception to every other similar case) {rom indeérmni- fying hinwgelf for the increase of other expences aiten his. culti        equivalent",1807-10-13,https://dloc.com/AA00047511/337,hurricane*,General Mention,,,
ment_bm_00025,"the accustomed Colonial honcurs ; i The letter of marqne brig Adventirer, from Gua- aad Col. Jemmetr ofthe Guards, “that the Corps | delonpe, arrived ai Plymouth on the 7th June ; /the | may be timely apprised of this onder, bas requested { Espeig le sloop of war from Martinique, onthe | Ithy ! this notification to them, and that he expects a full {and the Amelia Wilson, and punctual attendance, The following summons ; Gravesend on the 12h. has in consequence been issued: to the Royal Regi- The hurricane season may be fa ment :—  one of those that remain, struck off  ee in, the weather being, since four o'clock this His Honor the Presipent having signified to Col, | Morning to the present hour (3 P.M ), boisterous and Mayers that His Excellency Sir Gso. Beckwirtn, | threatening, The vessels in the Bay ride very bard K.B. is expected here mo mently; and requiring that | at their anchorage, a strong sea runoiig, and the the Royal Reziment should be jn readinéss to receive |",1810-07-28,https://dloc.com/AA00047511/625,hurricane*,General Mention,,,
ment_bm_00048,"at firstsightep) impression, it does not seem easy to answer so formidable @ Querist. Butas there are some gnestions which are best answered by ask- ing otHers, we may here demand of “Honestus,’ what have (he Public to do with bim, cr his fijead, the Adininistrator Genera)? But, lest this should     not-be thought sutticient, let us again ask © Hones- tus,” What hive the people of Londen to do with a murder in Yorkshire, a. robb ry on Bagshot Heath, a earihquakeda Sicily, cra hurricane in the West Indies? Tt is certain’ that) thé inhabitants of Lan- don have nathing more te do with suberers in  those eases, than the good people of Barhadus have td        do with the distresses o7 oppressions of their fellow- colonisis°of Surinam, Yet, such events or. oecur- rences ave never omiited in the public prints, ‘but are always inserted, and circulated from one end of the British dominions: to the other, ‘Viey are nol only vead with inéerest, but the unhappy sufferers,",1814-01-25,https://dloc.com/AA00047511/980,hurricane*,General Mention,,,
ment_bm_00069,"to proceed from St. Lucia, Martinique, and Dominique, were dirééted to rendezvous without= delay ‘at the Suintes,—Your Lordship: will have already been apprised; by a former disp uch, thanthe important post of the Saintds was already garrisoned by British troops,and placed in a state to-have resisted all attacks of the enemy, while the.expedition was not yet in d state of pre- parmions—Ie was important to keep the attacking force to wind- wal of Guideloupe, as long ds the hurricane season (already begun} mightpeanit.+ Lhe ast division ftom Barbados anchor- ed in the. Bay of St, Louis, Mariegalante; on: the ad August, ind from thengy were ordered to threatena landing to’ windward of Poinéa-Petre and’ Fort Klour d’Epee; where the enemy was in forct.—Vhe 2d or Leeward division assembling (but were not yet collected) atthe Suintes, threatened the whole coast’ from St. Marie to Basseterre and’ Baillif.—It-was deemed advisable to accompany the demonstration of a landing in forc",1815-11-04,https://dloc.com/AA00047511/1162,hurricane*,General Mention,,,
ment_bm_00070,". Jumes Leith, had assemte bled a force at this rendezvous sufficient to insure a \fompt’ar a decided reduction of that Island ; the last division of the troop’ having arrived oh the 7th instant, the Island having been recon noitred by the Commander in. Chief of the Forces, and myself,  — 4  | aided by that distinguished and indefatigable engineer Sir Cha Shipley, the places: of a debarkation having ee Ceuta upen, all overtures to. the enemy having been: tejected with. scorn, and the rainy and hurricane season having set in, not ‘moment was to be lost.—I. beg -you . will be pleased to inform _their Lordships, thar Ls onthe acrinstant, having on boad athe 15th regiment, ih company with the vessels of war and troop-ships as per margin, # fifty-three sail of transports and hired vessels, with five thousand men, a Corps of artillery. ands the'usual appendages to the army, and proceeded to the weather! most landing place, Sainte Sauveur (it had been Proposed, to have landed",1815-11-04,https://dloc.com/AA00047511/1162,hurricane*,General Mention,,,
ment_bm_00078,"ise the best mea           an elicient police.  : xcellency, that they have alveady passed a Bill laying the Taxes for the support. of the Civil Government far the pre- sent year, and that they willbe al raise supplies which necessity may eall & rs: Dutat the sume time they feel it their duty to observe that this Colony is far from being ina s e of pros : perity, having suffered from the calamities of inva. sion, Plinder, and Contribution; from two. of the most destructive Hurricanes ever witnessed, and nt the present monient labours under the preatest pre:  sure of expence incurred in the reduction of the Ranaway Slaves, whose number and daring depre- dations menaced the total destructic n ofall kinds of property in this Colony. —The House gratefulfy receive your Excellency’s professions of devotion to the interests of this Colany ; Stating that jabour and cares wil! be directed to and cen the advancement of its dignity, prosperity, and haps piness; the House in return beg",1816-06-29,https://dloc.com/AA00047511/1225,hurricane*,General Mention,,,
ment_bm_00105,"r Ree Ee BEN) H. THORNE. v4 3: ‘        --—  ON THE SfOCKS, AND FOR SALE, soe A staunch-buile VESSEL, about 59 tons, | i all her timbers are cedar and     * will carry 500 barrels; ! ice mahogany, planked wit two-inch pitch- pire ; tree- nailed copper fastened, and copper putt-hoiteds her |  |  eabin fitted up for the accom nod ition of .passen= |  gers, having five births. If sold, she can be launched |  in 48 hours’ notice; if not, she will remiun on the ;  stocks: until the expiration of the Hurricane Months. @&-$- A Chain Cable also for sale.  Pier-licad, Aug. 1t—3a. WHITE & PETRIE.     nae ——        THE subscriber is now receiving from on board the brig Robert James Haynes, from Liverpool, and for sale at his store in Broad-street, reasonable for cash, ‘ :  Paints and oil; 41, 61,81, and 101 nails ; coopers” and carpenters’ tools, wood and truss hoops ; iron puncheon, vatt, and worm-tub hoops ; ‘bar  _ iron, -hogsheads and tierces, blown salts botued por- ter and Burton ale, in barrels of",1818-08-11,https://dloc.com/AA00047511/1441,hurricane*,General Mention,,,
ment_bm_00113,"had séht Governor, Mr, Farqu tfon of 1816, to the preat and commerce, ‘I'he plea be altogether tinfuunded,  filled with wheat and rice, of goods of foreizn. manuf Ovder in Couneil; which emain= open'until the Ist gience of Governor Farqu! sequent to the fire, The G from a truly British fecling ther Country onght to have with its own Colonies. Th capital. and spirit of enter, and ship-owners, to carry 0 possibly pass throuzh the 1 accounts, wheat and rice we before the hurricane, and | we are paying for them her Extract from the Address have the honour to acknowle 4th of March, represeating quence of the gale of wind, i istresa which [apprehend t¢ gerated, as the reports which fpeans go to that extent: want of either wheat or rice, nopolists of those articles o:                    ly; andit fs to be regretted pher residence there, itt t she has vot beén ‘earlier narshy. situations are, ia lent of themscives to pro- ‘m dry air is almost indis-",1818-11-07,https://dloc.com/AA00047511/1466,hurricane*,General Mention,,,
